language,language name,iso language name,iso 639-1:2002,iso 639-2/t:1998,iso 639-2/b:1998,iso 639-3:2007,scope,type
te,telugu,Telugu,te,tel,,tel,Individual,Living
th,thai,Thai,th,tha,,tha,Individual,Living
bo,tibetan,Tibetan,bo,bod,tib,bod,Individual,Living
ti,tigrinya,Tigrinya,ti,tir,,tir,Individual,Living
to,tonga,Tonga (Tonga Islands),to,ton,,ton,Individual,Living
ts,tsonga,Tsonga,ts,tso,,tso,Individual,Living
tn,tswana,Tswana,tn,tsn,,tsn,Individual,Living
tr,turkish,Turkish,tr,tur,,tur,Individual,Living
tk,turkmen,Turkmen,tk,tuk,,tuk,Individual,Living
tw,twi,Twi,tw,twi,,twi,Individual,Living
ug,uighur,Uighur; Uyghur,ug,uig,,uig,Individual,Living
uk,ukrainian,Ukrainian,uk,ukr,,ukr,Individual,Living
ur,urdu,Urdu,ur,urd,,urd,Individual,Living
uz,uzbek,Uzbek,uz,uzb,,uzb + 2,Macrolanguage,Living
ve,venda,Venda,ve,ven,,ven,Individual,Living
vi,vietnamese,Vietnamese,vi,vie,,vie,Individual,Living
vo,volapuk,Volapük,vo,vol,,vol,Individual,Constructed
wa,walloon,Walloon,wa,wln,,wln,Individual,Living
cy,welsh,Welsh,cy,cym,wel,cym,Individual,Living
wo,wolof,Wolof,wo,wol,,wol,Individual,Living
xh,xhosa,Xhosa,xh,xho,,xho,Individual,Living
ii,sichuan yi,Sichuan Yi; Nuosu,ii,iii,,iii,Individual,Living
yi,yiddish,Yiddish,yi,yid,,yid + 2,Macrolanguage,Living
yo,yoruba,Yoruba,yo,yor,,yor,Individual,Living
za,zhuang,Zhuang; Chuang,za,zha,,zha + 16,Macrolanguage,Living
zu,zulu,Zulu,zu,zul,,zul,Individual,Living
